tau,data_size,method1,method2,mean_distance,std_distance
0.1,5,tabular_EDAC,tabular_robustEDAC,0.4529245316344518,0.25556894413057274
0.1,5,tabular_EDAC,true_model,1.4830978148305545,0.3692820431678246
0.1,5,tabular_EDAC,VI_model,1.6432568695034035,0.21065544832337552
0.1,5,tabular_robustEDAC,true_model,1.4501724696752203,0.42723389580126636
0.1,5,tabular_robustEDAC,VI_model,1.6155606027749418,0.2860066498043938
0.1,5,true_model,VI_model,1.4142135623730954,2.220446049250313e-16
0.1,5,tabular_EDAC,random_model,1.5529018354850836,0.19911557756325088
0.1,5,tabular_robustEDAC,random_model,1.6001542175423098,0.21101468977972263
0.1,5,true_model,random_model,2.23606797749979,0.0
0.1,5,VI_model,random_model,2.23606797749979,0.0
0.1,25,tabular_EDAC,tabular_robustEDAC,0.17377396358642533,0.0849563827419743
0.1,25,tabular_EDAC,true_model,1.63391275135582,0.08497980449785919
0.1,25,tabular_EDAC,VI_model,1.7403104692065792,0.17375564777468555
0.1,25,tabular_robustEDAC,true_model,1.6168069964915333,0.0922490548718746
0.1,25,tabular_robustEDAC,VI_model,1.7176079170913912,0.17275158970631302
0.1,25,true_model,VI_model,1.4142135623730954,2.220446049250313e-16
0.1,25,tabular_EDAC,random_model,1.1389531566709974,0.12711693707811506
0.1,25,tabular_robustEDAC,random_model,1.1397722659389666,0.1506518295749978
0.1,25,true_model,random_model,2.23606797749979,0.0
0.1,25,VI_model,random_model,2.23606797749979,0.0
0.1,125,tabular_EDAC,tabular_robustEDAC,0.172330091808332,0.06803178857704113
0.1,125,tabular_EDAC,true_model,1.7152990081858472,0.028610531315852804
0.1,125,tabular_EDAC,VI_model,1.7161568442976407,0.04316901547918675
0.1,125,tabular_robustEDAC,true_model,1.7066968961571707,0.028372368816254684
0.1,125,tabular_robustEDAC,VI_model,1.7165142754778007,0.022854983205118994
0.1,125,true_model,VI_model,1.4142135623730954,2.220446049250313e-16
0.1,125,tabular_EDAC,random_model,0.914441720381881,0.08871629652734334
0.1,125,tabular_robustEDAC,random_model,0.9227603641458325,0.06788972906361426
0.1,125,true_model,random_model,2.23606797749979,0.0
0.1,125,VI_model,random_model,2.23606797749979,0.0
0.5,5,tabular_EDAC,tabular_robustEDAC,0.4203491650522399,0.3143388106492871
0.5,5,tabular_EDAC,true_model,2.0026145244783287,0.4461111947561762
0.5,5,tabular_EDAC,VI_model,2.0026145244783287,0.4461111947561762
0.5,5,tabular_robustEDAC,true_model,2.1136761555215715,0.40084258562043285
0.5,5,tabular_robustEDAC,VI_model,2.1136761555215715,0.40084258562043285
0.5,5,true_model,VI_model,0.0,0.0
0.5,5,tabular_EDAC,random_model,1.5849436315166916,0.13324572567507872
0.5,5,tabular_robustEDAC,random_model,1.620019818394735,0.1275152752330005
0.5,5,true_model,random_model,2.23606797749979,0.0
0.5,5,VI_model,random_model,2.23606797749979,0.0
0.5,25,tabular_EDAC,tabular_robustEDAC,0.18337036578438867,0.10128207203003622
0.5,25,tabular_EDAC,true_model,1.6105409697178543,0.07418720103354264
0.5,25,tabular_EDAC,VI_model,1.6105409697178543,0.07418720103354264
0.5,25,tabular_robustEDAC,true_model,1.6118497547921984,0.04577337029910618
0.5,25,tabular_robustEDAC,VI_model,1.6118497547921984,0.04577337029910618
0.5,25,true_model,VI_model,0.0,0.0
0.5,25,tabular_EDAC,random_model,1.2312433384926682,0.10886047374442506
0.5,25,tabular_robustEDAC,random_model,1.2894468588148291,0.09951872490337006
0.5,25,true_model,random_model,2.23606797749979,0.0
0.5,25,VI_model,random_model,2.23606797749979,0.0
0.5,125,tabular_EDAC,tabular_robustEDAC,0.17178844033787127,0.04411307385117653
0.5,125,tabular_EDAC,true_model,1.630190054503832,0.05675489956702088
0.5,125,tabular_EDAC,VI_model,1.630190054503832,0.05675489956702088
0.5,125,tabular_robustEDAC,true_model,1.642680733952978,0.0532847615209879
0.5,125,tabular_robustEDAC,VI_model,1.642680733952978,0.0532847615209879
0.5,125,true_model,VI_model,0.0,0.0
0.5,125,tabular_EDAC,random_model,1.0518439667389923,0.1082362664181159
0.5,125,tabular_robustEDAC,random_model,1.0350786049402032,0.1006482465233148
0.5,125,true_model,random_model,2.23606797749979,0.0
0.5,125,VI_model,random_model,2.23606797749979,0.0
0.9,5,tabular_EDAC,tabular_robustEDAC,0.6969097103381767,0.27342756577359506
0.9,5,tabular_EDAC,true_model,1.6363485847444508,0.4287735909631763
0.9,5,tabular_EDAC,VI_model,2.472996591643193,0.37090039567867156
0.9,5,tabular_robustEDAC,true_model,1.7039546424510845,0.41842199637933836
0.9,5,tabular_robustEDAC,VI_model,2.513701221333979,0.357995046762063
