tau,data_size,beta,method1,method2,distances
0.1,125,0.01,VI_model,tabular_EDAC,"[2.318630257922599, 1.7480733434001707, 1.7341087106236581]"
0.1,125,0.01,VI_model,tabular_robustEDAC,"[1.8070823166955283, 1.9207522583807857, 2.007492667261169]"
0.1,125,0.01,VI_model,true_model,"[2.449489742783178, 2.449489742783178, 2.449489742783178]"
0.1,125,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.1,125,0.01,tabular_EDAC,random_policy,"[2.0834828879294487, 1.6863349811461756, 1.9070025323710553]"
0.1,125,0.01,tabular_robustEDAC,random_policy,"[2.116469413774379, 2.0438008138937063, 1.9611290757629627]"
0.1,125,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.1,125,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,5,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.5,5,0.01,tabular_EDAC,tabular_robustEDAC,"[1.9986365697660544, 2.371599315020464, 2.175023332885809]"
0.5,5,0.01,tabular_EDAC,true_model,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
0.5,5,0.01,tabular_EDAC,VI_model,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
0.5,5,0.01,tabular_robustEDAC,tabular_EDAC,"[1.9986365697660544, 2.371599315020464, 2.175023332885809]"
0.5,5,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.5,5,0.01,tabular_robustEDAC,true_model,"[2.4982231427765935, 2.0453264238682443, 2.8094100144427383]"
0.5,5,0.01,tabular_robustEDAC,VI_model,"[2.4982231427765935, 2.0453264238682443, 2.8094100144427383]"
0.5,5,0.01,true_model,tabular_EDAC,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
0.5,5,0.01,true_model,tabular_robustEDAC,"[2.4982231427765935, 2.0453264238682443, 2.8094100144427383]"
0.5,5,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.5,5,0.01,true_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,5,0.01,VI_model,tabular_EDAC,"[3.239093540897741, 2.523473189567684, 2.200248969684305]"
0.5,5,0.01,VI_model,tabular_robustEDAC,"[2.4982231427765935, 2.0453264238682443, 2.8094100144427383]"
0.5,5,0.01,VI_model,true_model,"[0.0, 0.0, 0.0]"
0.5,5,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,5,0.01,tabular_EDAC,random_policy,"[2.0212696637143814, 2.062672861441189, 2.1224653515144634]"
0.5,5,0.01,tabular_robustEDAC,random_policy,"[2.036207352956854, 2.1280592159299974, 2.219629489905096]"
0.5,5,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,5,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,25,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.5,25,0.01,tabular_EDAC,tabular_robustEDAC,"[0.2502475923094514, 1.0349112338809048, 0.05303859317113546]"
0.5,25,0.01,tabular_EDAC,true_model,"[2.450711992781346, 1.7007417179567814, 1.995733928212061]"
0.5,25,0.01,tabular_EDAC,VI_model,"[2.450711992781346, 1.7007417179567814, 1.995733928212061]"
0.5,25,0.01,tabular_robustEDAC,tabular_EDAC,"[0.2502475923094514, 1.0349112338809048, 0.05303859317113546]"
0.5,25,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.5,25,0.01,tabular_robustEDAC,true_model,"[2.381559125787983, 1.353402443877548, 1.9912672332200172]"
0.5,25,0.01,tabular_robustEDAC,VI_model,"[2.381559125787983, 1.353402443877548, 1.9912672332200172]"
0.5,25,0.01,true_model,tabular_EDAC,"[2.450711992781346, 1.7007417179567814, 1.995733928212061]"
0.5,25,0.01,true_model,tabular_robustEDAC,"[2.381559125787983, 1.353402443877548, 1.9912672332200172]"
0.5,25,0.01,true_model,true_model,"[0.0, 0.0, 0.0]"
0.5,25,0.01,true_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,25,0.01,VI_model,tabular_EDAC,"[2.450711992781346, 1.7007417179567814, 1.995733928212061]"
0.5,25,0.01,VI_model,tabular_robustEDAC,"[2.381559125787983, 1.353402443877548, 1.9912672332200172]"
0.5,25,0.01,VI_model,true_model,"[0.0, 0.0, 0.0]"
0.5,25,0.01,VI_model,VI_model,"[0.0, 0.0, 0.0]"
0.5,25,0.01,tabular_EDAC,random_policy,"[2.0329102063753353, 1.8906876813389057, 2.043074804734007]"
0.5,25,0.01,tabular_robustEDAC,random_policy,"[2.0044721521084776, 1.9138498057534092, 2.0131410497943567]"
0.5,25,0.01,true_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,25,0.01,VI_model,random_policy,"[2.23606797749979, 2.23606797749979, 2.23606797749979]"
0.5,125,0.01,tabular_EDAC,tabular_EDAC,"[0.0, 0.0, 0.0]"
0.5,125,0.01,tabular_EDAC,tabular_robustEDAC,"[0.289160019457726, 0.2582701993912645, 0.4197677830509234]"
0.5,125,0.01,tabular_EDAC,true_model,"[2.039243238155342, 2.144811997421205, 1.74001778532392]"
0.5,125,0.01,tabular_EDAC,VI_model,"[2.039243238155342, 2.144811997421205, 1.74001778532392]"
0.5,125,0.01,tabular_robustEDAC,tabular_EDAC,"[0.289160019457726, 0.2582701993912645, 0.4197677830509234]"
0.5,125,0.01,tabular_robustEDAC,tabular_robustEDAC,"[0.0, 0.0, 0.0]"
0.5,125,0.01,tabular_robustEDAC,true_model,"[1.841795688929519, 2.0947478168771068, 1.9066405676184275]"
0.5,125,0.01,tabular_robustEDAC,VI_model,"[1.841795688929519, 2.0947478168771068, 1.9066405676184275]"
