Risk Tau,,,,,,
0.1,0.679626947,12,0.01,0.04, 'tabular_robustEDAC',25
0.1,0.985212353,12,0.01,0.02, 'tabular_robustEDAC',25
0.1,0,0.959041856,12,0.01, 'tabular_robustEDAC',25
0.1,0.2,0, 'true_model',0.01,12,25
0.1,1, 'true_model',0.01,12,0.04,25
0.1,0.17,0, 'true_model',0.01,12,25
0.1,0.15,0, 'true_model',0.01,12,25
0.1,0.13,0, 'true_model',0.01,12,25
0.1,0.13,0, 'true_model',0.01,12,25
0.1,0.11,1, 'true_model',0.01,12,25
0.1,1, 'true_model',0.01,12,0.04,25
0.1,1, 'true_model',0.01,12,0.02,25
0.1,0,1, 'true_model',0.01,12,25
0.1,0.2,0, 'VI_model',0.01,12,25
0.1,1, 'VI_model',0.01,12,0.04,25
0.1,0.17,0, 'VI_model',0.01,12,25
0.1,0.15,0, 'VI_model',0.01,12,25
0.1,0.13,0, 'VI_model',0.01,12,25
0.1,0.13,1, 'VI_model',0.01,12,25
0.1,0.11,1, 'VI_model',0.01,12,25
0.1,1, 'VI_model',0.01,12,0.04,25
0.1,1, 'VI_model',0.01,12,0.02,25
0.1,0,1, 'VI_model',0.01,12,25
0.1, 'tabular_EDAC',0.21,0.454012531,12,0.01,125
0.1, 'tabular_EDAC',0.06,0.795335848,12,0.01,125
0.1, 'tabular_EDAC',0.18,0.441152294,12,0.01,125
0.1, 'tabular_EDAC',0.15,0.463117783,12,0.01,125
0.1, 'tabular_EDAC',0.12,0.487565431,12,0.01,125
0.1, 'tabular_EDAC',0.12,0.449546334,12,0.01,125
0.1, 'tabular_EDAC',0.546354488,12,0.01,125,
0.1, 'tabular_EDAC',0.700034997,12,0.01,0.04,125
0.1, 'tabular_EDAC',0.928621337,12,0.01,0.02,125
0.1, 'tabular_EDAC',0.906238951,12,0.01,125,
0.1,0.21,0.442193943,0.01,12, 'tabular_robustEDAC',125
0.1,0.06,0.738704322,0.01,12, 'tabular_robustEDAC',125
0.1,0.18,0.459637598,0.01,12, 'tabular_robustEDAC',125
0.1,0.15,0.454227035,0.01,12, 'tabular_robustEDAC',125
0.1,0.12,0.470163907,0.01,12, 'tabular_robustEDAC',125
0.1,0.12,0.43552255,0.01,12, 'tabular_robustEDAC',125
0.1,0.589555771,0.01,12, 'tabular_robustEDAC',125,
0.1,0.704991466,0.01,12,0.04, 'tabular_robustEDAC',125
0.1,0.91129786,0.01,12,0.02, 'tabular_robustEDAC',125
0.1,0.896092356,0.01,12, 'tabular_robustEDAC',125,
0.1,0.21,0, 'true_model',0.01,12,125
0.1,0.06,1, 'true_model',0.01,12,125
0.1,0.18,0, 'true_model',0.01,12,125
0.1,0.15,0, 'true_model',0.01,12,125
0.1,0.12,0, 'true_model',0.01,12,125
0.1,0.12,0, 'true_model',0.01,12,125
0.1,1, 'true_model',0.01,12,125,
0.1,1, 'true_model',0.01,12,0.04,125
0.1,1, 'true_model',0.01,12,0.02,125
0.1,1, 'true_model',0.01,12,125,
0.1,0.21,0, 'VI_model',12,0.01,125
0.1,0.06,1, 'VI_model',12,0.01,125
0.1,0.18,0, 'VI_model',12,0.01,125
0.1,0.15,0, 'VI_model',12,0.01,125
0.1,0.12,0, 'VI_model',12,0.01,125
0.1,0.12,1, 'VI_model',12,0.01,125
0.1,1, 'VI_model',12,0.01,125,
0.1,1, 'VI_model',12,0.01,0.04,125
0.1,1, 'VI_model',12,0.01,0.02,125
0.1,1, 'VI_model',12,0.01,125,
0.5, 'tabular_EDAC',0.24,5,12,0.01,0.014638806
0.5, 'tabular_EDAC',0.980580867,5,12,0.01,0.02
0.5, 'tabular_EDAC',0.2,0.483216646,5,12,0.01
0.5, 'tabular_EDAC',0.26,0.507363825,5,12,0.01
0.5, 'tabular_EDAC',0.14,0.502775061,5,12,0.01
0.5, 'tabular_EDAC',0.1,0.990378732,5,12,0.01
0.5, 'tabular_EDAC',0.976426832,5,12,0.01,0.04
0.5, 'tabular_EDAC',0,0.241009066,5,12,0.01
0.5, 'tabular_EDAC',0,0.738873885,5,12,0.01
0.5, 'tabular_EDAC',0,0.878170084,5,12,0.01
0.5,0.24,5,12,0.01,0.00498286, 'tabular_robustEDAC'
0.5,0.991566628,5,12,0.01,0.02, 'tabular_robustEDAC'
0.5,0.2,0.483469911,5,12,0.01, 'tabular_robustEDAC'
0.5,0.26,0.492590188,5,12,0.01, 'tabular_robustEDAC'
0.5,0.14,0.510316352,5,12,0.01, 'tabular_robustEDAC'
0.5,0.1,0.979811385,5,12,0.01, 'tabular_robustEDAC'
0.5,0.994881983,5,12,0.01,0.04, 'tabular_robustEDAC'
0.5,0,0.459459848,5,12,0.01, 'tabular_robustEDAC'
0.5,0,0.605098694,5,12,0.01, 'tabular_robustEDAC'
0.5,0,0.711053031,5,12,0.01, 'tabular_robustEDAC'
0.5,0.24,0,5, 'true_model',0.01,12
0.5,1,5, 'true_model',0.01,12,0.02
0.5,0.2,0,5, 'true_model',0.01,12
0.5,0.26,0,5, 'true_model',0.01,12
0.5,0.14,0,5, 'true_model',0.01,12
0.5,0.1,1,5, 'true_model',0.01,12
0.5,1,5, 'true_model',0.01,12,0.04
0.5,0,1,5, 'true_model',0.01,12
0.5,0,1,5, 'true_model',0.01,12
0.5,0,1,5, 'true_model',0.01,12
0.5,0.24,0,5, 'VI_model',12,0.01
0.5,1,5, 'VI_model',12,0.01,0.02
0.5,0.2,0,5, 'VI_model',12,0.01
0.5,0.26,0,5, 'VI_model',12,0.01
0.5,0.14,0,5, 'VI_model',12,0.01
0.5,0.1,1,5, 'VI_model',12,0.01
0.5,1,5, 'VI_model',12,0.01,0.04
0.5,0,1,5, 'VI_model',12,0.01
0.5,0,1,5, 'VI_model',12,0.01
0.5,0,1,5, 'VI_model',12,0.01
0.5, 'tabular_EDAC',0.28,0.452350044,0.01,12,25
0.5, 'tabular_EDAC',0.623209678,0.01,12,0.04,25
0.5, 'tabular_EDAC',0.24,0.461678005,0.01,12,25
0.5, 'tabular_EDAC',0.2,0.490675586,0.01,12,25
0.5, 'tabular_EDAC',0.14,0.525867407,0.01,12,25
0.5, 'tabular_EDAC',0.06,0.55463713,0.01,12,25
0.5, 'tabular_EDAC',0.03,0.576878127,0.01,12,25
0.5, 'tabular_EDAC',0,0.953925058,0.01,12,25
0.5, 'tabular_EDAC',0.984133961,0.01,12,25,
0.5, 'tabular_EDAC',0.892390309,0.01,12,25,
0.5,0.28,0.442909452,0.01,12, 'tabular_robustEDAC',25
0.5,0.716435611,0.01,12,0.04, 'tabular_robustEDAC',25
0.5,0.24,0.468238176,0.01,12, 'tabular_robustEDAC',25
0.5,0.2,0.486200467,0.01,12, 'tabular_robustEDAC',25
0.5,0.14,0.526020256,0.01,12, 'tabular_robustEDAC',25
0.5,0.06,0.542684317,0.01,12, 'tabular_robustEDAC',25
0.5,0.03,0.613586331,0.01,12, 'tabular_robustEDAC',25
0.5,0,0.96720856,0.01,12, 'tabular_robustEDAC',25
0.5,0.996024622,0.01,12, 'tabular_robustEDAC',25,
0.5,0.857377441,0.01,12, 'tabular_robustEDAC',25,
0.5,0.28,0, 'true_model',0.01,12,25
0.5,1, 'true_model',0.01,12,0.04,25
0.5,0.24,0, 'true_model',0.01,12,25
0.5,0.2,0, 'true_model',0.01,12,25
0.5,0.14,0, 'true_model',0.01,12,25
0.5,0.06,1, 'true_model',0.01,12,25
0.5,0.03,1, 'true_model',0.01,12,25
0.5,0,1, 'true_model',0.01,12,25
0.5,1, 'true_model',0.01,12,25,
0.5,1, 'true_model',0.01,12,25,
0.5,0.28,0, 'VI_model',0.01,12,25
0.5,1, 'VI_model',0.01,12,0.04,25
0.5,0.24,0, 'VI_model',0.01,12,25
0.5,0.2,0, 'VI_model',0.01,12,25
0.5,0.14,0, 'VI_model',0.01,12,25
0.5,0.06,1, 'VI_model',0.01,12,25
0.5,0.03,1, 'VI_model',0.01,12,25
0.5,0,1, 'VI_model',0.01,12,25
0.5,1, 'VI_model',0.01,12,25,
0.5,1, 'VI_model',0.01,12,25,
0.5, 'tabular_EDAC',0.25,0.444757656,12,0.01,125
0.5, 'tabular_EDAC',0.05,0.704499081,12,0.01,125
0.5, 'tabular_EDAC',0.22,0.474478168,12,0.01,125
0.5, 'tabular_EDAC',0.19,0.481127903,12,0.01,125
0.5, 'tabular_EDAC',0.14,0.543562126,12,0.01,125
0.5, 'tabular_EDAC',0.06,0.715776015,12,0.01,125
0.5, 'tabular_EDAC',0.03,0.663818641,12,0.01,125
0.5, 'tabular_EDAC',0.76599798,12,0.01,0.02,125
0.5, 'tabular_EDAC',0.902650821,12,0.01,0.02,125
0.5, 'tabular_EDAC',0.906054224,12,0.01,0.02,125
0.5,0.25,0.449280264,12,0.01, 'tabular_robustEDAC',125
0.5,0.05,0.753187459,12,0.01, 'tabular_robustEDAC',125
0.5,0.22,0.477208946,12,0.01, 'tabular_robustEDAC',125
0.5,0.19,0.48357733,12,0.01, 'tabular_robustEDAC',125
0.5,0.14,0.554321828,12,0.01, 'tabular_robustEDAC',125
0.5,0.06,0.667932746,12,0.01, 'tabular_robustEDAC',125
0.5,0.03,0.721103952,12,0.01, 'tabular_robustEDAC',125
0.5,0.697084427,12,0.01,0.02, 'tabular_robustEDAC',125
0.5,0.71700607,12,0.01,0.02, 'tabular_robustEDAC',125
0.5,0.928776931,12,0.01,0.02, 'tabular_robustEDAC',125
0.5,0.25,0, 'true_model',0.01,12,125
0.5,0.05,1, 'true_model',0.01,12,125
0.5,0.22,0, 'true_model',0.01,12,125
0.5,0.19,0, 'true_model',0.01,12,125
0.5,0.14,0, 'true_model',0.01,12,125
0.5,0.06,1, 'true_model',0.01,12,125
0.5,0.03,1, 'true_model',0.01,12,125
0.5,1, 'true_model',0.01,12,0.02,125
0.5,1, 'true_model',0.01,12,0.02,125
0.5,1, 'true_model',0.01,12,0.02,125
0.5,0.25,0, 'VI_model',12,0.01,125
0.5,0.05,1, 'VI_model',12,0.01,125
0.5,0.22,0, 'VI_model',12,0.01,125
0.5,0.19,0, 'VI_model',12,0.01,125
0.5,0.14,0, 'VI_model',12,0.01,125
0.5,0.06,1, 'VI_model',12,0.01,125
0.5,0.03,1, 'VI_model',12,0.01,125
0.5,1, 'VI_model',12,0.01,0.02,125
0.5,1, 'VI_model',12,0.01,0.02,125
0.5,1, 'VI_model',12,0.01,0.02,125
0.9, 'tabular_EDAC',0.8,0.475510819,5,12,0.01
0.9, 'tabular_EDAC',0.978784414,5,12,0.01,0.02
0.9, 'tabular_EDAC',0.1,0.978992824,5,12,0.01
0.9, 'tabular_EDAC',0.979477154,5,12,0.01,0.04
0.9, 'tabular_EDAC',0,0.777407118,5,12,0.01
0.9, 'tabular_EDAC',0.987381962,5,12,0.01,0.02
0.9, 'tabular_EDAC',0.973067756,5,12,0.01,0.02
0.9, 'tabular_EDAC',0,0.241009066,5,12,0.01
0.9, 'tabular_EDAC',0,0.738873885,5,12,0.01
0.9, 'tabular_EDAC',0,0.878170084,5,12,0.01
0.9,0.8,0.466334097,5,12,0.01, 'tabular_robustEDAC'
0.9,0.981961633,5,12,0.01,0.02, 'tabular_robustEDAC'
0.9,0.1,0.996735163,5,12,0.01, 'tabular_robustEDAC'
0.9,0.992357396,5,12,0.01,0.04, 'tabular_robustEDAC'
0.9,0,0.707511628,5,12,0.01, 'tabular_robustEDAC'
0.9,0.993181113,5,12,0.01,0.02, 'tabular_robustEDAC'
0.9,0.99158054,5,12,0.01,0.02, 'tabular_robustEDAC'
0.9,0,0.82777224,5,12,0.01, 'tabular_robustEDAC'
0.9,0,0.413869547,5,12,0.01, 'tabular_robustEDAC'
0.9,0,0.5580087,5,12,0.01, 'tabular_robustEDAC'
0.9,0.8,1,5, 'true_model',0.01,12
0.9,1,5, 'true_model',0.01,12,0.02
0.9,0.1,1,5, 'true_model',0.01,12
0.9,1,5, 'true_model',0.01,12,0.04
0.9,0,1,5, 'true_model',0.01,12
0.9,1,5, 'true_model',0.01,12,0.02
0.9,1,5, 'true_model',0.01,12,0.02
0.9,0,1,5, 'true_model',0.01,12
0.9,0,1,5, 'true_model',0.01,12
0.9,0,1,5, 'true_model',0.01,12
0.9,0.8,0,5, 'VI_model',12,0.01
0.9,1,5, 'VI_model',12,0.01,0.02
0.9,0.1,0,5, 'VI_model',12,0.01
0.9,0,5, 'VI_model',12,0.01,0.04
0.9,0,5, 'VI_model',12,0.01,
0.9,1,5, 'VI_model',12,0.01,0.02
0.9,1,5, 'VI_model',12,0.01,0.02
0.9,0,1,5, 'VI_model',12,0.01
0.9,0,1,5, 'VI_model',12,0.01
0.9,0,1,5, 'VI_model',12,0.01
0.9, 'tabular_EDAC',0.74,0.479148774,0.01,12,25
0.9, 'tabular_EDAC',0.05,0.80700065,0.01,12,25
0.9, 'tabular_EDAC',0.08,0.993836782,0.01,12,25
0.9, 'tabular_EDAC',0.03,0.595171421,0.01,12,25
0.9, 'tabular_EDAC',0.984337794,0.01,12,0.02,25
0.9, 'tabular_EDAC',0.663129277,0.01,12,0.02,25
0.9, 'tabular_EDAC',0.03,0.950922856,0.01,12,25
0.9, 'tabular_EDAC',0.965072745,0.01,12,25,
0.9, 'tabular_EDAC',0.837683146,0.01,12,25,
0.9, 'tabular_EDAC',0.995615088,0.01,12,25,
0.9,0.74,0.486710516,0.01,12, 'tabular_robustEDAC',25
0.9,0.05,0.716344455,0.01,12, 'tabular_robustEDAC',25
0.9,0.08,0.9934975,0.01,12, 'tabular_robustEDAC',25
0.9,0.03,0.616372172,0.01,12, 'tabular_robustEDAC',25
0.9,0.96774385,0.01,12,0.02, 'tabular_robustEDAC',25
0.9,0.588019191,0.01,12,0.02, 'tabular_robustEDAC',25
0.9,0.03,0.984500229,0.01,12, 'tabular_robustEDAC',25
0.9,0.97887662,0.01,12, 'tabular_robustEDAC',25,
0.9,0.834012314,0.01,12, 'tabular_robustEDAC',25,
0.9,0.992703894,0.01,12, 'tabular_robustEDAC',25,
0.9,0.74,1, 'true_model',0.01,12,25
0.9,0.05,1, 'true_model',0.01,12,25
0.9,0.08,1, 'true_model',0.01,12,25
0.9,0.03,1, 'true_model',0.01,12,25
0.9,1, 'true_model',0.01,12,0.02,25
0.9,1, 'true_model',0.01,12,0.02,25
0.9,0.03,1, 'true_model',0.01,12,25
0.9,1, 'true_model',0.01,12,25,
0.9,1, 'true_model',0.01,12,25,
0.9,1, 'true_model',0.01,12,25,
0.9,0.74,0, 'VI_model',0.01,12,25
0.9,0.05,1, 'VI_model',0.01,12,25
0.9,0.08,0, 'VI_model',0.01,12,25
0.9,0.03,0, 'VI_model',0.01,12,25
0.9,0, 'VI_model',0.01,12,0.02,25
0.9,1, 'VI_model',0.01,12,0.02,25
0.9,0.03,1, 'VI_model',0.01,12,25
0.9,1, 'VI_model',0.01,12,25,
0.9,1, 'VI_model',0.01,12,25,
0.9,1, 'VI_model',0.01,12,25,
0.9, 'tabular_EDAC',0.78,0.496197976,12,0.01,125
0.9, 'tabular_EDAC',0.03,0.684128458,12,0.01,125
0.9, 'tabular_EDAC',0.07,0.731865377,12,0.01,125
0.9, 'tabular_EDAC',0.909933402,12,0.01,0.02,125
0.9, 'tabular_EDAC',0.726341304,12,0.01,0.02,125
0.9, 'tabular_EDAC',0.639212989,12,0.01,0.02,125
0.9, 'tabular_EDAC',0.675436046,12,0.01,0.02,125
0.9, 'tabular_EDAC',0.838310401,12,0.01,0.02,125
0.9, 'tabular_EDAC',0.940932023,12,0.01,125,
0.9, 'tabular_EDAC',0.863772136,12,0.01,125,
0.9,0.78,0.504593796,12,0.01, 'tabular_robustEDAC',125
0.9,0.03,0.714409778,12,0.01, 'tabular_robustEDAC',125
0.9,0.07,0.597450985,12,0.01, 'tabular_robustEDAC',125
0.9,0.910416805,12,0.01,0.02, 'tabular_robustEDAC',125
0.9,0.717568039,12,0.01,0.02, 'tabular_robustEDAC',125
0.9,0.61730512,12,0.01,0.02, 'tabular_robustEDAC',125
0.9,0.726843963,12,0.01,0.02, 'tabular_robustEDAC',125
0.9,0.922875946,12,0.01,0.02, 'tabular_robustEDAC',125
0.9,0.93315142,12,0.01, 'tabular_robustEDAC',125,
0.9,0.909066881,12,0.01, 'tabular_robustEDAC',125,
0.9,0.78,1, 'true_model',0.01,12,125
0.9,0.03,1, 'true_model',0.01,12,125
0.9,0.07,1, 'true_model',0.01,12,125
0.9,1, 'true_model',0.01,12,0.02,125
0.9,1, 'true_model',0.01,12,0.02,125
0.9,1, 'true_model',0.01,12,0.02,125
0.9,1, 'true_model',0.01,12,0.02,125
0.9,1, 'true_model',0.01,12,0.02,125
0.9,1, 'true_model',0.01,12,125,
0.9,1, 'true_model',0.01,12,125,
0.9,0.78,0, 'VI_model',12,0.01,125
0.9,0.03,1, 'VI_model',12,0.01,125
0.9,0.07,0, 'VI_model',12,0.01,125
0.9,0, 'VI_model',12,0.01,0.02,125
0.9,0, 'VI_model',12,0.01,0.02,125
0.9,1, 'VI_model',12,0.01,0.02,125
0.9,1, 'VI_model',12,0.01,0.02,125
0.9,1, 'VI_model',12,0.01,0.02,125
0.9,1, 'VI_model',12,0.01,125,
0.9,1, 'VI_model',12,0.01,125,
