tau,data_size,naive_mean,naive_std,box_mean,box_std,ch_mean,ch_std,ellipsoid_mean,ellipsoid_std,ellipsoid_0.9_mean,ellipsoid_0.9_std
0.1,1000,-158.61259613905673,3.3907757396089133,-154.76854183442558,2.684420074721351,-149.6791502577384,4.796199920817057,-155.5789206198726,7.416517970324909,-178.69492120538592,43.29435997622133
0.5,1000,-151.29271261614073,3.7524682674248484,-154.68600078933528,1.7065375235700924,-152.46187099634048,3.907621319966365,-176.80811712708334,39.72324186272408,-195.06212911195087,40.74108131126652
0.9,1000,-157.98274638955635,3.5355206140579134,-153.5039255131435,2.5756451711134587,-149.44203762847985,5.029812495392236,-176.80811712708334,39.72324186272408,-195.06212911195087,40.74108131126652
0.1,10000,-152.7475473335773,2.0281234855650845,-153.7304975727791,1.812543795797587,-152.37818877265602,4.241140003521849,-152.36878821353199,4.6101907661210495,-158.5998316332042,2.8950839535662958
0.5,10000,-147.52103638047424,2.8613113417598908,-156.29358647085692,3.1709072564313865,-157.80892373849895,2.956862089015483,-194.41202668839705,42.836083623670305,-200.91304086782162,45.5021405670639
0.9,10000,-154.78420671709083,3.54117674455005,-156.29358647085692,3.1709072564313865,-157.82320152402087,2.9494411195536143,-194.41202668839705,42.836083623670305,-200.91304086782162,45.5021405670639
0.1,1000000,-154.95436483711063,4.954295453773949,-152.8861330441399,6.153326099225893,-151.88578526977935,4.108789647417405,-179.4987535833584,44.52983106429251,-220.58473773747787,43.861226784024865
0.5,1000000,-148.728245706039,4.988690506149916,-156.27048914775946,3.496881233532282,-156.96518746219954,5.586214616382964,-200.83198078333544,48.19166032941113,-242.01786202792445,11.282483654246223
0.9,1000000,-156.0149746794474,4.504084513144062,-156.27062242996885,3.4966993202145327,-156.96528487608626,5.586355088436983,-200.83198078333544,48.19166032941113,-242.01786202792445,11.282483654246223
