/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 52 | Reward: 11.0 | Policy Loss: -7.237194061279297 | critic Loss: 1.5828558206558228 | Steps: 541
Episode: 53 | Reward: 13.0 | Policy Loss: -7.322420597076416 | critic Loss: 2.012249708175659 | Steps: 554
Episode: 54 | Reward: 11.0 | Policy Loss: -7.170777320861816 | critic Loss: 1.5497713088989258 | Steps: 565
Episode: 55 | Reward: 11.0 | Policy Loss: -7.384352684020996 | critic Loss: 1.252475619316101 | Steps: 576
Episode: 56 | Reward: 12.0 | Policy Loss: -7.145751953125 | critic Loss: 1.5904200077056885 | Steps: 588
Episode: 57 | Reward: 13.0 | Policy Loss: -7.2462053298950195 | critic Loss: 1.776033639907837 | Steps: 601
Episode: 58 | Reward: 13.0 | Policy Loss: -7.2588653564453125 | critic Loss: 1.6143847703933716 | Steps: 614
Episode: 59 | Reward: 9.0 | Policy Loss: -7.2556047439575195 | critic Loss: 1.42782723903656 | Steps: 623
Episode: 60 | Reward: 10.0 | Policy Loss: -7.214393138885498 | critic Loss: 0.9494390487670898 | Steps: 633
Episode: 61 | Reward: 13.0 | Policy Loss: -7.192296028137207 | critic Loss: 1.8187596797943115 | Steps: 646
Episode: 62 | Reward: 13.0 | Policy Loss: -7.111364364624023 | critic Loss: 1.4308271408081055 | Steps: 659
Episode: 63 | Reward: 12.0 | Policy Loss: -7.141419410705566 | critic Loss: 2.037026882171631 | Steps: 671
Episode: 64 | Reward: 15.0 | Policy Loss: -7.2171173095703125 | critic Loss: 1.2678945064544678 | Steps: 686
Episode: 65 | Reward: 14.0 | Policy Loss: -7.074172496795654 | critic Loss: 1.609674334526062 | Steps: 700
Episode: 66 | Reward: 16.0 | Policy Loss: -7.1095967292785645 | critic Loss: 1.3672020435333252 | Steps: 716
Episode: 67 | Reward: 18.0 | Policy Loss: -7.0001983642578125 | critic Loss: 1.4199612140655518 | Steps: 734
