/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 71 | Reward: 9.0 | Polciy Loss: -5.089235305786133 | Steps: 675
Episode: 72 | Reward: 8.0 | Polciy Loss: -5.202147483825684 | Steps: 683
Episode: 73 | Reward: 10.0 | Polciy Loss: -5.159923553466797 | Steps: 693
Episode: 74 | Reward: 10.0 | Polciy Loss: -5.268688201904297 | Steps: 703
Episode: 75 | Reward: 11.0 | Polciy Loss: -5.503228664398193 | Steps: 714
Episode: 76 | Reward: 10.0 | Polciy Loss: -5.401279449462891 | Steps: 724
Episode: 77 | Reward: 9.0 | Polciy Loss: -5.29818058013916 | Steps: 733
Episode: 78 | Reward: 9.0 | Polciy Loss: -5.429548263549805 | Steps: 742
Episode: 79 | Reward: 10.0 | Polciy Loss: -5.611807346343994 | Steps: 752
Episode: 80 | Reward: 10.0 | Polciy Loss: -5.668619155883789 | Steps: 762
Episode: 81 | Reward: 10.0 | Polciy Loss: -5.4641923904418945 | Steps: 772
Episode: 82 | Reward: 9.0 | Polciy Loss: -5.77524995803833 | Steps: 781
Episode: 83 | Reward: 10.0 | Polciy Loss: -5.6242356300354 | Steps: 791
Episode: 84 | Reward: 10.0 | Polciy Loss: -5.937648296356201 | Steps: 801
Episode: 85 | Reward: 9.0 | Polciy Loss: -5.840199947357178 | Steps: 810
Episode: 86 | Reward: 10.0 | Polciy Loss: -6.078921318054199 | Steps: 820
Episode: 87 | Reward: 10.0 | Polciy Loss: -6.020715236663818 | Steps: 830
Episode: 88 | Reward: 10.0 | Polciy Loss: -6.120230674743652 | Steps: 840
Episode: 89 | Reward: 9.0 | Polciy Loss: -5.860365390777588 | Steps: 849
Episode: 90 | Reward: 9.0 | Polciy Loss: -5.870825290679932 | Steps: 858
Episode: 91 | Reward: 8.0 | Polciy Loss: -6.006012916564941 | Steps: 866
Episode: 92 | Reward: 10.0 | Polciy Loss: -5.923904895782471 | Steps: 876
Episode: 93 | Reward: 10.0 | Polciy Loss: -6.178042411804199 | Steps: 886
Episode: 94 | Reward: 10.0 | Polciy Loss: -6.387660503387451 | Steps: 896
Episode: 95 | Reward: 9.0 | Polciy Loss: -6.240649223327637 | Steps: 905
Episode: 96 | Reward: 9.0 | Polciy Loss: -6.171264171600342 | Steps: 914
Episode: 97 | Reward: 8.0 | Polciy Loss: -6.141979217529297 | Steps: 922
Episode: 98 | Reward: 9.0 | Polciy Loss: -6.438300132751465 | Steps: 931
Episode: 99 | Reward: 8.0 | Polciy Loss: -6.466030597686768 | Steps: 939
Episode: 100 | Reward: 9.0 | Polciy Loss: -6.577247619628906 | Steps: 948
Episode: 101 | Reward: 8.0 | Polciy Loss: -6.78959321975708 | Steps: 956
Episode: 102 | Reward: 9.0 | Polciy Loss: -6.299465179443359 | Steps: 965
Episode: 103 | Reward: 10.0 | Polciy Loss: -6.172475814819336 | Steps: 975
Episode: 104 | Reward: 9.0 | Polciy Loss: -6.551024436950684 | Steps: 984
Episode: 105 | Reward: 10.0 | Polciy Loss: -6.676126480102539 | Steps: 994
Episode: 106 | Reward: 9.0 | Polciy Loss: -6.697162628173828 | Steps: 1003
Episode: 107 | Reward: 8.0 | Polciy Loss: -6.608067512512207 | Steps: 1011
Episode: 108 | Reward: 10.0 | Polciy Loss: -6.850393295288086 | Steps: 1021
Episode: 109 | Reward: 11.0 | Polciy Loss: -6.7670464515686035 | Steps: 1032
Episode: 110 | Reward: 10.0 | Polciy Loss: -6.882483959197998 | Steps: 1042
Episode: 111 | Reward: 10.0 | Polciy Loss: -6.880463600158691 | Steps: 1052
Episode: 112 | Reward: 9.0 | Polciy Loss: -6.833515644073486 | Steps: 1061
Episode: 113 | Reward: 10.0 | Polciy Loss: -7.172924995422363 | Steps: 1071
Episode: 114 | Reward: 10.0 | Polciy Loss: -7.193934440612793 | Steps: 1081
Episode: 115 | Reward: 10.0 | Polciy Loss: -7.246670722961426 | Steps: 1091
Episode: 116 | Reward: 8.0 | Polciy Loss: -7.409740447998047 | Steps: 1099
Episode: 117 | Reward: 9.0 | Polciy Loss: -7.206178665161133 | Steps: 1108
Episode: 118 | Reward: 9.0 | Polciy Loss: -7.403916835784912 | Steps: 1117
Episode: 119 | Reward: 8.0 | Polciy Loss: -7.597287654876709 | Steps: 1125
Episode: 120 | Reward: 10.0 | Polciy Loss: -7.297362804412842 | Steps: 1135
Episode: 121 | Reward: 10.0 | Polciy Loss: -7.476175785064697 | Steps: 1145
Episode: 122 | Reward: 10.0 | Polciy Loss: -7.157177448272705 | Steps: 1155
Episode: 123 | Reward: 9.0 | Polciy Loss: -7.225146293640137 | Steps: 1164
Episode: 124 | Reward: 9.0 | Polciy Loss: -7.329695701599121 | Steps: 1173
Episode: 125 | Reward: 9.0 | Polciy Loss: -7.313122272491455 | Steps: 1182
Episode: 126 | Reward: 10.0 | Polciy Loss: -7.3309125900268555 | Steps: 1192
Episode: 127 | Reward: 10.0 | Polciy Loss: -7.358218193054199 | Steps: 1202
Episode: 128 | Reward: 10.0 | Polciy Loss: -7.614797592163086 | Steps: 1212
Episode: 129 | Reward: 10.0 | Polciy Loss: -7.877490520477295 | Steps: 1222
Episode: 130 | Reward: 10.0 | Polciy Loss: -7.889889240264893 | Steps: 1232
Episode: 131 | Reward: 9.0 | Polciy Loss: -7.829541206359863 | Steps: 1241
Episode: 132 | Reward: 10.0 | Polciy Loss: -7.827363014221191 | Steps: 1251
Episode: 133 | Reward: 8.0 | Polciy Loss: -7.8250956535339355 | Steps: 1259
Episode: 134 | Reward: 9.0 | Polciy Loss: -7.978177070617676 | Steps: 1268
Episode: 135 | Reward: 11.0 | Polciy Loss: -7.648458003997803 | Steps: 1279
Episode: 136 | Reward: 10.0 | Polciy Loss: -7.678564071655273 | Steps: 1289
Episode: 137 | Reward: 10.0 | Polciy Loss: -7.76593017578125 | Steps: 1299
Episode: 138 | Reward: 9.0 | Polciy Loss: -7.751959800720215 | Steps: 1308
Episode: 139 | Reward: 9.0 | Polciy Loss: -7.703963279724121 | Steps: 1317
Episode: 140 | Reward: 9.0 | Polciy Loss: -7.945878505706787 | Steps: 1326
Episode: 141 | Reward: 9.0 | Polciy Loss: -7.758144855499268 | Steps: 1335
Episode: 142 | Reward: 9.0 | Polciy Loss: -7.821194648742676 | Steps: 1344
Episode: 143 | Reward: 9.0 | Polciy Loss: -7.825164794921875 | Steps: 1353
Episode: 144 | Reward: 9.0 | Polciy Loss: -8.239789009094238 | Steps: 1362
Episode: 145 | Reward: 8.0 | Polciy Loss: -8.077670097351074 | Steps: 1370
Episode: 146 | Reward: 10.0 | Polciy Loss: -8.09109878540039 | Steps: 1380
Episode: 147 | Reward: 11.0 | Polciy Loss: -7.748229503631592 | Steps: 1391
Episode: 148 | Reward: 10.0 | Polciy Loss: -7.770346641540527 | Steps: 1401
Episode: 149 | Reward: 10.0 | Polciy Loss: -7.846938133239746 | Steps: 1411
Episode: 150 | Reward: 10.0 | Polciy Loss: -7.801239013671875 | Steps: 1421
Episode: 151 | Reward: 9.0 | Polciy Loss: -7.8189239501953125 | Steps: 1430
Episode: 152 | Reward: 8.0 | Polciy Loss: -7.987793922424316 | Steps: 1438
Episode: 153 | Reward: 8.0 | Polciy Loss: -8.20850944519043 | Steps: 1446
Episode: 154 | Reward: 9.0 | Polciy Loss: -8.01296615600586 | Steps: 1455
Episode: 155 | Reward: 8.0 | Polciy Loss: -8.053601264953613 | Steps: 1463
