env,data_size,tau,model,V_model,V_opt_tau_0.5,V_random,normalized_improvement
LunarLander-v2,0,0.1,optimal,140.91,134.7,-119.31,1.0245
LunarLander-v2,0,0.9,optimal,86.71,134.7,-119.31,0.8111
LunarLander-v2,1000,0.1,box,-443.03,134.7,-119.31,-1.2745
LunarLander-v2,1000,0.1,convex,148.88,134.7,-119.31,1.0558
LunarLander-v2,1000,0.1,epinet,-397.86,134.7,-119.31,-1.0967
LunarLander-v2,1000,0.5,box,-863.4,134.7,-119.31,-2.9295
LunarLander-v2,1000,0.5,epinet,-257.16,134.7,-119.31,-0.5427
LunarLander-v2,1000,0.9,box,221.4,134.7,-119.31,1.3414
LunarLander-v2,1000,0.9,convex,45.31,134.7,-119.31,0.6481
LunarLander-v2,1000,0.9,epinet,-32.23,134.7,-119.31,0.3428
LunarLander-v2,10000,0.1,box,230.88,134.7,-119.31,1.3787
LunarLander-v2,10000,0.1,convex,148.55,134.7,-119.31,1.0545
LunarLander-v2,10000,0.1,ellipsoid,124.01,134.7,-119.31,0.9579
LunarLander-v2,10000,0.1,epinet,-105.42,134.7,-119.31,0.0547
LunarLander-v2,10000,0.5,epinet,173.55,134.7,-119.31,1.153
LunarLander-v2,10000,0.9,box,151.25,134.7,-119.31,1.0652
LunarLander-v2,10000,0.9,convex,237.61,134.7,-119.31,1.4052
LunarLander-v2,10000,0.9,epinet,81.33,134.7,-119.31,0.7899
LunarLander-v2,100000,0.5,box,92.56,134.7,-119.31,0.8341
LunarLander-v2,100000,0.5,convex,-33.81,134.7,-119.31,0.3366
LunarLander-v2,100000,0.5,ellipsoid,-51.13,134.7,-119.31,0.2684
LunarLander-v2,100000,0.5,epinet,70.36,134.7,-119.31,0.7467
