"Step","data_size: 100000 - entropy","data_size: 100000 - entropy__MIN","data_size: 100000 - entropy__MAX"
"0","1.3842280507087708","1.382806420326233","1.3856496810913086"
"2","1.3850146532058716","1.3849990367889404","1.3850302696228027"
"3","1.384381890296936","1.3829777240753174","1.3857860565185547"
"4","1.3825029134750366","1.3795229196548462","1.385482907295227"
"5","1.3794374465942383","1.3746917247772217","1.3841831684112549"
"6","1.3752641677856445","1.368473768234253","1.3820545673370361"
"7","1.369702160358429","1.3603090047836304","1.3790953159332275"
"8","1.3622681498527527","1.34920334815979","1.3753329515457153"
"9","1.3533269166946411","1.336096167564392","1.3705576658248901"
"10","1.3424153923988342","1.3204115629196167","1.3644192218780518"
"11","1.327468454837799","1.2987408638000488","1.3561960458755493"
"12","1.3112016916275024","1.2762548923492432","1.3461484909057617"
"13","1.2909148931503296","1.2461671829223633","1.335662603378296"
"14","1.2662147879600525","1.2138019800186157","1.3186275959014893"
"15","1.2350295782089233","1.1722090244293213","1.2978501319885254"
"16","1.1957354545593262","1.1167550086975098","1.2747159004211426"
"17","1.1574050784111023","1.066200613975525","1.2486095428466797"
"18","1.1097845435142517","1.0085337162017822","1.2110353708267212"
"19","1.0509920716285706","0.9332364797592163","1.1687476634979248"
"20","0.9956269264221191","0.8733862638473511","1.1178675889968872"
"21","0.9308051466941833","0.8035259246826172","1.0580843687057495"
"22","0.8531931042671204","0.7068361043930054","0.9995501041412354"
"23","0.7893255650997162","0.6472808122634888","0.9313703179359436"
"24","0.7067532241344452","0.5500540137290955","0.8634524345397949"
"25","0.6433337330818176","0.5041227340698242","0.782544732093811"
"26","0.566670298576355","0.4215207099914551","0.7118198871612549"
"27","0.49849696457386017","0.36716172099113464","0.6298322081565857"
"28","0.4343164563179016","0.30423152446746826","0.564401388168335"
"29","0.3944896161556244","0.28817474842071533","0.5008044838905334"
"30","0.3469695448875427","0.25106948614120483","0.4428696036338806"
"31","0.29763980209827423","0.2070540487766266","0.3882255554199219"
"32","0.27001864463090897","0.18548889458179474","0.3545483946800232"
"33","0.22793693840503693","0.15819349884986877","0.2976803779602051"
"34","0.20302002876996994","0.14281480014324188","0.263225257396698"
