"Step","data_size: 100000 - entropy","data_size: 100000 - entropy__MIN","data_size: 100000 - entropy__MAX"
"0","0.6902139782905579","0.689761757850647","0.6906661987304688"
"2","0.6921376287937164","0.6918392181396484","0.6924360394477844"
"3","0.6926319003105164","0.6924518346786499","0.6928119659423828"
"4","0.6919378638267517","0.691665530204773","0.6922101974487305"
"5","0.6905257105827332","0.689796507358551","0.6912549138069153"
"6","0.6893717050552368","0.6884633302688599","0.6902800798416138"
"7","0.6880020201206207","0.6875147819519043","0.6884892582893372"
"8","0.6855401694774628","0.685390055179596","0.6856902837753296"
"9","0.6835778951644897","0.6831478476524353","0.6840079426765442"
"10","0.6827507317066193","0.6821913123130798","0.6833101511001587"
"11","0.6808682978153229","0.6782779097557068","0.683458685874939"
"12","0.6790498793125153","0.6722633242607117","0.6858364343643188"
"13","0.6770833134651184","0.6696720719337463","0.6844945549964905"
"14","0.678967148065567","0.6698388457298279","0.6880954504013062"
"15","0.6797686219215393","0.6725742220878601","0.6869630217552185"
"16","0.6769128739833832","0.6687233448028564","0.6851024031639099"
"17","0.6754019856452942","0.6680320501327515","0.6827719211578369"
"18","0.6752746999263763","0.6679804921150208","0.6825689077377319"
"19","0.6747334003448486","0.6701498031616211","0.6793169975280762"
"20","0.6765574812889099","0.6729581356048584","0.6801568269729614"
"21","0.6774084270000458","0.6737992167472839","0.6810176372528076"
"22","0.6798169016838074","0.6784239411354065","0.6812098622322083"
"23","0.6806797385215759","0.6800051927566528","0.681354284286499"
"24","0.6827683746814728","0.6803188323974609","0.6852179169654846"
"25","0.6830911338329315","0.6798198819160461","0.6863623857498169"
"26","0.6851595044136047","0.6812179684638977","0.6891010403633118"
"27","0.6854523420333862","0.6818419098854065","0.689062774181366"
"28","0.6868035793304443","0.6834880113601685","0.6901191473007202"
"29","0.6861152946949005","0.6814680099487305","0.6907625794410706"
"30","0.6873571872711182","0.6841193437576294","0.6905950307846069"
"31","0.6876841485500336","0.6844909191131592","0.690877377986908"
"32","0.6879192888736725","0.6854310035705566","0.6904075741767883"
"33","0.6888823211193085","0.6879903078079224","0.6897743344306946"
"34","0.6888526678085327","0.6885013580322266","0.6892039775848389"
"35","0.6895389258861542","0.6886030435562134","0.690474808216095"
"36","0.6900941729545593","0.6891231536865234","0.6910651922225952"
"37","0.6900968849658966","0.688856303691864","0.6913374662399292"
"38","0.6898468434810638","0.68902987241745","0.6906638145446777"
"39","0.6899513304233551","0.6894533038139343","0.6904493570327759"
"40","0.6897262334823608","0.689646303653717","0.6898061633110046"
"41","0.6896912455558777","0.6893845796585083","0.6899979114532471"
"42","0.689690887928009","0.689011812210083","0.6903699636459351"
"43","0.6900971531867981","0.6893838047981262","0.69081050157547"
"44","0.6904182434082031","0.6896599531173706","0.6911765336990356"
"45","0.6905010342597961","0.6893435120582581","0.6916585564613342"
"46","0.6907232701778412","0.6895827054977417","0.6918638348579407"
"47","0.6907829642295837","0.6894863843917847","0.6920795440673828"
"48","0.690008282661438","0.6878681182861328","0.6921484470367432"
"49","0.6900803744792938","0.6879785060882568","0.6921822428703308"
"50","0.6893260776996613","0.6863396167755127","0.6923125386238098"
"52","0.6891173124313354","0.6861076951026917","0.6921269297599792"
"53","0.6891762316226959","0.6859974265098572","0.6923550367355347"
"54","0.688721776008606","0.6851998567581177","0.6922436952590942"
"55","0.689217209815979","0.6861222982406616","0.6923121213912964"
"56","0.6892383992671967","0.6863853335380554","0.6920914649963379"
"57","0.6897777020931244","0.6873504519462585","0.6922049522399902"
"58","0.6901860237121582","0.6881207227706909","0.6922513246536255"
"59","0.6909469366073608","0.6897231936454773","0.6921706795692444"
"60","0.6906355917453766","0.6892973780632019","0.6919738054275513"
"61","0.6907976865768433","0.6900097727775574","0.6915856003761292"
"62","0.6907947957515717","0.6901174783706665","0.6914721131324768"
"63","0.6909767389297485","0.6903539299964905","0.6915995478630066"
"64","0.6908303797245026","0.6901013255119324","0.6915594339370728"
"65","0.691082239151001","0.6902357339859009","0.6919287443161011"
"66","0.6913468241691589","0.6911259293556213","0.6915677189826965"
"67","0.6909043192863464","0.689979612827301","0.6918290257453918"
"68","0.6914417743682861","0.6910688877105713","0.691814661026001"
"69","0.6911855041980743","0.6907387971878052","0.6916322112083435"
"70","0.6914569437503815","0.6910732984542847","0.6918405890464783"
"71","0.6913317441940308","0.6907317638397217","0.6919317245483398"
"72","0.6915340721607208","0.6912506818771362","0.6918174624443054"
"73","0.6916705369949341","0.6910257339477539","0.6923153400421143"
"74","0.6916403770446777","0.6911614537239075","0.692119300365448"
"75","0.6915693879127502","0.691020131111145","0.6921186447143555"
"76","0.6916929185390472","0.6910184025764465","0.692367434501648"
"77","0.6912789046764374","0.6904422044754028","0.6921156048774719"
"78","0.6914031207561493","0.6904882788658142","0.6923179626464844"
"79","0.6913217604160309","0.6903725266456604","0.6922709941864014"
"80","0.691473662853241","0.6907011866569519","0.69224613904953"
"81","0.6915853023529053","0.6909242868423462","0.6922463178634644"
"82","0.6914573609828949","0.6905898451805115","0.6923248767852783"
"83","0.6916797161102295","0.6910821199417114","0.6922773122787476"
"84","0.691551148891449","0.6911404132843018","0.6919618844985962"
"85","0.6917834579944611","0.6913307905197144","0.6922361254692078"
"86","0.6917107105255127","0.691277801990509","0.6921436190605164"
"87","0.6918279826641083","0.691480278968811","0.6921756863594055"
"88","0.6918213069438934","0.691392719745636","0.6922498941421509"
"89","0.6918130218982697","0.6914498805999756","0.6921761631965637"
"90","0.6918879449367523","0.6914491653442383","0.6923267245292664"
"91","0.6919470131397247","0.6915828585624695","0.69231116771698"
"92","0.6919374465942383","0.6918843984603882","0.6919904947280884"
"93","0.6919198632240295","0.6917227506637573","0.6921169757843018"
"94","0.691755622625351","0.6914172768592834","0.6920939683914185"
"95","0.6916813254356384","0.6915594339370728","0.6918032169342041"
"96","0.6917804479598999","0.6915615200996399","0.6919993758201599"
"97","0.6918100714683533","0.6916364431381226","0.691983699798584"
"98","0.6919373273849487","0.6918057203292847","0.6920689344406128"
"99","0.6916903555393219","0.6916677355766296","0.6917129755020142"
"100","0.6917367875576019","0.6914194822311401","0.6920540928840637"
"101","0.6916440427303314","0.691150963306427","0.6921371221542358"
"103","0.6913860738277435","0.6910712718963623","0.6917008757591248"
"104","0.691626787185669","0.691351056098938","0.6919025182723999"
"105","0.6914886832237244","0.6911023259162903","0.6918750405311584"
"106","0.6912132501602173","0.6907832622528076","0.691643238067627"
"107","0.6915976107120514","0.6911261081695557","0.6920691132545471"
"108","0.691565752029419","0.6910583972930908","0.6920731067657471"
"109","0.6910126805305481","0.6902579069137573","0.6917674541473389"
"110","0.6913730502128601","0.6906752586364746","0.6920708417892456"
"111","0.6912491619586945","0.690727710723877","0.691770613193512"
"112","0.6910645067691803","0.690436601638794","0.6916924118995667"
"113","0.6914626955986023","0.6909525990486145","0.6919727921485901"
"114","0.6916283965110779","0.6914656162261963","0.6917911767959595"
"115","0.691406637430191","0.690663754940033","0.6921495199203491"
"116","0.6912829577922821","0.6906723380088806","0.6918935775756836"
"117","0.6914194524288177","0.6909629106521606","0.6918759942054749"
"118","0.691579282283783","0.6909900903701782","0.6921684741973877"
"119","0.6913361251354218","0.6905935406684875","0.692078709602356"
"120","0.6913801431655884","0.6910175085067749","0.6917427778244019"
"121","0.6915453374385834","0.6911334991455078","0.6919571757316589"
"122","0.6916477084159851","0.6913888454437256","0.6919065713882446"
"123","0.6916489899158478","0.6912564039230347","0.6920415759086609"
"124","0.6913992166519165","0.6908833980560303","0.6919150352478027"
"125","0.6914011836051941","0.6911208033561707","0.6916815638542175"
"126","0.6916815042495728","0.6913166046142578","0.6920464038848877"
"127","0.6916725039482117","0.6914947032928467","0.6918503046035767"
"128","0.6917884349822998","0.6914887428283691","0.6920881271362305"
"129","0.6916574835777283","0.6912689208984375","0.692046046257019"
"130","0.6915919780731201","0.6912540197372437","0.6919299364089966"
"131","0.6915558278560638","0.6914715766906738","0.6916400790214539"
"132","0.6915645599365234","0.6912999153137207","0.6918292045593262"
"133","0.6915733516216278","0.6910212635993958","0.6921254396438599"
"134","0.6916012167930603","0.6913937330245972","0.6918087005615234"
"135","0.6915682554244995","0.6913149356842041","0.6918215751647949"
"136","0.6917266845703125","0.6916197538375854","0.6918336153030396"
"137","0.6916646659374237","0.6913584470748901","0.6919708847999573"
"138","0.6915596127510071","0.6912381649017334","0.6918810606002808"
"139","0.6912626922130585","0.6909205913543701","0.6916047930717468"
"140","0.6912461221218109","0.6911682486534119","0.69132399559021"
"141","0.6914160847663879","0.6911734342575073","0.6916587352752686"
"142","0.6913681030273438","0.6908155083656311","0.6919206976890564"
"143","0.6913909614086151","0.6906951069831848","0.6920868158340454"
"144","0.6913696229457855","0.6905933022499084","0.6921459436416626"
"145","0.6911295652389526","0.6901608109474182","0.6920983195304871"
"146","0.6911982595920563","0.6902917623519897","0.6921047568321228"
"147","0.6910867094993591","0.6901543736457825","0.6920190453529358"
"148","0.6910814046859741","0.6902546286582947","0.6919081807136536"
"149","0.6914616525173187","0.6907685995101929","0.6921547055244446"
"150","0.6910417377948761","0.6901559233665466","0.6919275522232056"
"151","0.6913750171661377","0.6905683279037476","0.6921817064285278"
"152","0.6912888586521149","0.6905759572982788","0.6920017600059509"
"154","0.691582202911377","0.6910335421562195","0.6921308636665344"
"155","0.6913228332996368","0.690524160861969","0.6921215057373047"
"156","0.6913709342479706","0.6906397342681885","0.6921021342277527"
"157","0.6915177404880524","0.6909775733947754","0.6920579075813293"
"158","0.6917200684547424","0.6913855075836182","0.6920546293258667"
"159","0.6916391551494598","0.6911013126373291","0.6921769976615906"
"160","0.6916391551494598","0.691038966178894","0.6922393441200256"
"161","0.6915525794029236","0.6908264756202698","0.6922786831855774"
"162","0.6916132569313049","0.6907750368118286","0.6924514770507812"
"163","0.6913267374038696","0.6903725266456604","0.6922809481620789"
"164","0.6913788318634033","0.6903384923934937","0.692419171333313"
"165","0.6908960044384003","0.689470112323761","0.6923218965530396"
"166","0.6908251047134399","0.6892780065536499","0.69237220287323"
"167","0.690383642911911","0.6885432004928589","0.6922240853309631"
"168","0.6904047727584839","0.6883460283279419","0.6924635171890259"
"169","0.6906433701515198","0.68889319896698","0.6923935413360596"
"170","0.6907109618186951","0.6889634132385254","0.6924585103988647"
"171","0.6907730400562286","0.6890910267829895","0.6924550533294678"
"172","0.690777450799942","0.6891591548919678","0.6923957467079163"
"173","0.6907332241535187","0.6892153024673462","0.6922511458396912"
"174","0.690773069858551","0.6893635988235474","0.6921825408935547"
"175","0.6907864511013031","0.6893218159675598","0.6922510862350464"
"176","0.6907848417758942","0.6896317005157471","0.6919379830360413"
"177","0.6908145248889923","0.6896863579750061","0.6919426918029785"
"178","0.6907715499401093","0.6898144483566284","0.6917286515235901"
"179","0.6909800171852112","0.6899927854537964","0.691967248916626"
"180","0.6911090016365051","0.6900083422660828","0.6922096610069275"
"181","0.6913212537765503","0.690518856048584","0.6921236515045166"
"182","0.6912638545036316","0.6904700994491577","0.6920576095581055"
"183","0.6910233795642853","0.6901726126670837","0.6918741464614868"
"184","0.6912510693073273","0.690501868724823","0.6920002698898315"
"185","0.6915470361709595","0.6910749077796936","0.6920191645622253"
